ACC	ncldv	caudo	ratio	class
PF00188.26	64	4	0.9463542227	
PF01909.23	64	4	0.9463542227	
PF00211.20	48	0	0.9459459459	
PF00266.19	49	0	0.9448198198	
PF13844.6	49	0	0.9448198198	
PF05875.12	49	0	0.9448198198	
PF01521.20	50	0	0.9436936937	
PF00491.21	50	0	0.9436936937	
PF00571.28	50	0	0.9436936937	
PF14360.6	51	0	0.9425675676	
PF01066.21	51	0	0.9425675676	
PF04230.13	51	0	0.9425675676	
PF03003.16	51	0	0.9425675676	
PF00504.21	104	21	0.9424139892	
PF13475.6	56	1	0.9422015926	
PF00125.24	52	0	0.9414414414	
PF00400.32	52	0	0.9414414414	
PF14312.6	68	4	0.9407658185	
PF08148.12	53	0	0.9403153153	
PF13847.6	58	1	0.9397678005	
PF03290.13	54	0	0.9391891892	
PF11397.8	54	0	0.9391891892	
PF12171.8	59	1	0.9385555199	
PF00076.22	55	0	0.9380630631	
PF01253.22	55	0	0.9380630631	
PF00887.19	55	0	0.9380630631	
PF03055.15	55	0	0.9380630631	
PF00682.19	55	0	0.9380630631	
PF00183.18	55	0	0.9380630631	
PF08212.12	56	0	0.9369369369	
PF03133.15	56	0	0.9369369369	
PF05193.21	56	0	0.9369369369	
PF01040.18	57	0	0.9358108108	
PF02854.19	57	0	0.9358108108	
PF01163.22	57	0	0.9358108108	
PF13537.6	57	0	0.9358108108	
PF01741.18	57	0	0.9358108108	
PF00445.18	57	0	0.9358108108	
PF12804.7	75	5	0.935195255	
PF13855.6	58	0	0.9346846847	
PF01501.20	58	0	0.9346846847	
PF00719.19	58	0	0.9346846847	
PF01485.21	63	1	0.933733748	
PF00612.27	59	0	0.9335585586	
PF04070.12	60	0	0.9324324324	
PF02776.18	60	0	0.9324324324	
PF00326.21	60	0	0.9324324324	
PF01697.27	60	0	0.9324324324	
PF04231.13	60	0	0.9324324324	
PF00173.28	61	0	0.9313063063	
PF00646.33	61	0	0.9313063063	
PF10933.8	61	0	0.9313063063	
PF01564.17	61	0	0.9313063063	
PF02442.17	61	0	0.9313063063	
PF13923.6	62	0	0.9301801802	
PF00225.23	62	0	0.9301801802	
PF00145.17	287	246	0.9295052736	
PF08793.10	63	0	0.9290540541	
PF05118.15	80	5	0.9283362047	
PF14015.6	75	3	0.9273333692	
PF11820.8	65	0	0.9268018018	
PF18188.1	66	0	0.9256756757	
PF10553.9	67	0	0.9245495495	
PF12851.7	105	15	0.9238740021	
PF02940.15	68	0	0.9234234234	
PF01151.18	68	0	0.9234234234	
PF08519.12	69	0	0.9222972973	
PF01966.22	120	23	0.921372169	
PF03292.14	71	0	0.920045045	
PF01358.18	71	0	0.920045045	
PF03798.16	72	0	0.9189189189	
PF01434.18	73	0	0.9177927928	
PF10927.8	73	0	0.9177927928	
PF04577.14	81	2	0.9160633077	
PF05637.12	78	0	0.9121621622	
PF04564.15	78	0	0.9121621622	
PF00117.28	79	0	0.911036036	
PF14791.6	79	0	0.911036036	
PF06467.14	86	2	0.9100094489	
PF13173.6	80	0	0.9099099099	
PF00152.20	87	2	0.9088045148	
PF01925.19	81	0	0.9087837838	
PF13857.6	81	0	0.9087837838	
PF04244.13	82	0	0.9076576577	
PF17035.5	82	0	0.9076576577	
PF14623.6	83	0	0.9065315315	
PF04563.15	83	0	0.9065315315	
PF13489.6	140	30	0.9055182103	
PF00092.28	135	26	0.9047532592	
PF13366.6	85	0	0.9042792793	
PF03167.19	119	15	0.9031532663	
PF12906.7	87	0	0.902027027	
PF04991.13	90	1	0.9019244344	
PF16199.5	88	0	0.9009009009	
PF00009.27	91	1	0.9007623106	
PF01171.20	93	0	0.8952702703	
PF13532.6	102	3	0.8938063327	
PF09445.10	95	0	0.893018018	
PF04724.13	96	0	0.8918918919	
PF00487.24	99	1	0.8914915006	
PF01041.17	112	6	0.8896678409	
PF00097.25	98	0	0.8896396396	
PF03749.13	98	0	0.8896396396	
PF03407.16	99	0	0.8885135135	
PF07714.17	100	0	0.8873873874	
PF13403.6	103	1	0.8868713461	
PF02384.16	146	25	0.8860685851	
PF03016.15	102	0	0.8851351351	
PF08645.11	103	0	0.884009009	
PF13306.6	106	1	0.8834119582	
PF00636.26	105	0	0.8817567568	
PF02493.20	106	0	0.8806306306	
PF01028.20	111	2	0.880312085	
PF04193.14	159	31	0.8784267147	
PF00387.19	110	0	0.8761261261	
PF05741.13	110	0	0.8761261261	
PF13456.6	121	5	0.875921413	
PF13245.6	129	9	0.875298617	
PF01762.21	111	0	0.875	
PF07885.16	134	11	0.8733007998	
PF00194.21	113	0	0.8727477477	
PF00024.26	113	0	0.8727477477	
PF00675.20	118	1	0.8696155978	
PF13450.6	121	2	0.8686118084	
PF03382.14	140	12	0.8676126895	
PF05704.12	127	4	0.8662676739	
PF00583.25	231	99	0.8662166008	
PF01380.22	154	20	0.8648649814	
PF00120.24	121	0	0.8637387387	
PF01233.19	121	0	0.8637387387	
PF12874.7	122	0	0.8626126126	
PF02086.15	296	195	0.8608897742	
PF02485.21	124	0	0.8603603604	
PF13419.6	129	2	0.8593005936	
PF00478.25	135	5	0.8588922588	
PF11913.8	126	0	0.8581081081	
PF03713.13	129	0	0.8547297297	
PF01261.24	131	1	0.8547280173	
PF02338.19	130	0	0.8536036036	
PF13358.6	130	0	0.8536036036	
PF04916.13	132	0	0.8513513514	
PF00153.27	132	0	0.8513513514	
PF00075.24	320	229	0.8506207153	
PF01027.20	135	0	0.847972973	
PF02784.16	136	0	0.8468468468	
PF00856.28	146	4	0.8436628655	
PF03567.14	155	8	0.8406670036	
PF00355.26	142	0	0.8400900901	
PF03031.18	144	1	0.8398852039	
PF05203.16	163	12	0.8381460341	
PF00071.22	144	0	0.8378378378	
PF03372.23	155	6	0.8368628653	
PF03073.15	148	0	0.8333333333	
PF00481.21	148	0	0.8333333333	
PF05686.12	148	0	0.8333333333	
PF01844.23	462	547	0.8287923537	
PF07659.11	171	12	0.8281216056	
PF08795.10	157	1	0.8250760372	
PF00300.22	157	1	0.8250760372	
PF08719.11	283	136	0.8229869336	
PF00505.19	158	0	0.8220720721	
PF01431.21	158	0	0.8220720721	
PF00650.20	159	0	0.8209459459	
PF04116.13	160	0	0.8198198198	
PF02150.16	161	0	0.8186936937	
PF05721.13	161	0	0.8186936937	
PF11443.8	252	82	0.8121499416	
PF14792.6	171	0	0.8074324324	
PF13656.6	174	0	0.8040540541	
PF00656.22	180	0	0.7972972973	
PF13704.6	184	2	0.7959973658	
PF03441.14	183	0	0.7939189189	
PF01370.21	209	20	0.7928521485	
PF00534.20	218	26	0.7896666084	
PF00383.23	425	382	0.7863881939	
PF00303.19	463	482	0.7855227951	
PF13640.6	256	64	0.785416891	
PF00096.26	191	0	0.7849099099	
PF00852.19	196	3	0.7837918413	
PF13637.6	192	0	0.7837837838	
PF07669.11	213	9	0.7725923485	
PF12799.7	209	0	0.7646396396	
PF09612.10	211	1	0.763784642	
PF00388.19	214	0	0.759009009	
PF00892.20	216	1	0.7581216675	
PF05670.13	216	0	0.7567567568	
PF01391.18	388	254	0.7560642542	
PF02991.16	217	0	0.7556306306	
PF00005.27	230	11	0.7550911122	
PF01036.18	218	0	0.7545045045	
PF01653.18	319	122	0.7535185165	
PF03109.16	219	0	0.7533783784	
PF01331.19	219	0	0.7533783784	
PF01176.19	220	0	0.7522522523	
PF01428.16	222	0	0.75	
PF02037.27	241	9	0.7396135059	
PF00080.20	232	0	0.7387387387	
PF13578.6	251	13	0.7326119412	
PF01764.25	240	1	0.7309581494	
PF01569.21	248	2	0.7230983071	
PF00565.17	313	75	0.7181664643	
PF13649.6	262	3	0.7083307647	
PF01593.24	265	0	0.7015765766	
PF00581.20	275	0	0.6903153153	
PF00782.20	296	21	0.6875830013	
PF08241.12	310	33	0.6822850418	
PF13733.6	286	1	0.6789587696	
PF13621.6	295	0	0.6677927928	
PF05362.13	299	0	0.6632882883	
PF00012.20	313	0	0.6475225225	
PF12796.7	320	0	0.6396396396	
PF00112.23	326	1	0.6337872409	
PF01531.16	341	12	0.6263659136	
PF04848.13	335	0	0.6227477477	
PF00313.22	337	0	0.6204954955	
PF00240.23	340	0	0.6171171171	
PF00929.24	467	224	0.6155120341	
PF00773.19	344	1	0.6134696496	
PF09159.10	344	0	0.6126126126	
PF13920.6	345	0	0.6114864865	
PF05970.14	373	35	0.6076190973	
PF16363.5	360	14	0.6060598447	
PF00705.18	353	1	0.6033126636	
PF01541.24	465	199	0.6025219378	
PF00176.23	496	267	0.6001453355	
PF05050.12	368	18	0.6000061641	
PF04488.15	363	0	0.5912162162	
PF04665.12	364	0	0.5900900901	
PF00230.20	367	0	0.5867117117	
PF01193.24	391	0	0.5596846847	
PF09945.9	395	0	0.5551801802	
PF13177.6	434	59	0.5513405753	
PF01556.18	400	1	0.5502866013	
PF00179.26	411	0	0.5371621622	
PF02867.15	706	793	0.5361062704	
PF00265.18	506	179	0.5344744655	
PF04998.17	433	2	0.5137491459	
PF00193.17	437	0	0.5078828829	
PF01728.19	439	0	0.5056306306	
PF00692.19	616	406	0.5006199608	
PF01712.19	470	36	0.4933027331	
PF00867.18	454	0	0.4887387387	
PF00733.21	460	4	0.4845456404	
PF00268.21	697	632	0.4824167662	
PF01351.18	467	0	0.4740990991	
PF04997.12	469	1	0.4724754624	
PF02747.15	478	0	0.4617117117	
PF13385.6	537	118	0.460053966	
PF01131.20	493	0	0.4448198198	
PF02732.15	504	7	0.4365271646	
PF02902.19	511	0	0.4245495495	
PF00271.31	629	271	0.4186879931	
PF00270.29	531	9	0.4070239883	
PF08325.10	532	3	0.4025634237	
PF01755.17	571	77	0.3967388913	
PF01652.18	559	0	0.3704954955	
PF00535.26	610	112	0.36719408	
PF14622.6	564	0	0.3648648649	
PF01192.22	568	0	0.3603603604	
PF00226.31	593	13	0.3386703932	
PF00382.19	591	0	0.3344594595	
PF03159.18	592	0	0.3333333333	
PF08706.11	641	99	0.3236870861	
PF01194.17	607	0	0.3164414414	
PF00488.21	614	0	0.3085585586	
PF00521.20	692	200	0.3059290205	
PF09588.10	675	148	0.3045070369	
PF04851.15	826	605	0.2857599335	
PF00004.29	750	322	0.2819817666	
PF04451.12	638	0	0.2815315315	
PF03291.16	645	0	0.2736486486	
PF00352.21	659	0	0.2578828829	
PF02201.18	662	0	0.2545045045	
PF01191.19	670	0	0.2454954955	
PF00443.29	681	0	0.2331081081	
PF13639.6	694	0	0.2184684685	
PF00085.20	753	169	0.2181952889	
PF00293.28	761	179	0.2123648096	
PF01734.22	702	1	0.209879432	
PF00069.25	713	27	0.208236391	
PF16903.5	705	0	0.2060810811	
PF04777.13	724	0	0.1846846847	
PF00562.28	758	29	0.157675817	
PF01096.18	750	1	0.1557984997	
PF00136.21	869	287	0.1187652638	
PF04947.14	886	0	0.0022522523	
